
    32   
    0    -0.006604267134	    0.01966208495
    1    0.01098578289	    0.03280454583
    2    -0.009784632926	    0.07007418809
    3    0.03006279488	    0.1065817775
    4    -0.09222473704	    0.1746938105
    5    0.01105754027	    0.04679384237
    6    0.009750915697	    0.03247472496
    7    -0.001748078464	    0.01026758113
    8    0.05723468165	    0.1476423145
    9    0.02508404782	    0.08770592136
    10   -0.008051017093	    0.02440405965
    11   0.06592472767	    0.1460865412
    12   -0.02366221589	    0.1083550812
    13   0.03936140677	    0.2187071858
    14   -0.03074924524	    0.1029153158
    15   0.07084133157	    0.1141001877
    16   -0.0615124024	    0.1329928737
    17   0.01242511097	    0.1095648411
    18   0.008553230661	    0.1588549049
    19   0.07132668418	    0.2429871274
    20   -0.05924133798	    0.1884155576
    21   0.06253322338	    0.1666090044
    22   -0.09821045353	    0.1979518039
    23   0.124988551	    0.2100046192
    24   -0.09382028768	    0.1937860931
    25   0.0683191603	    0.1550330286
    26   -0.06770002426	    0.1586348069
    27   0.003544147512	    0.01831064369
    28   0.004290216418	    0.02483362875
    29   0.007043248643	    0.02522095307
    30   -0.01023181477	    0.05386552572
    31   0.02159121599	    0.07926942869
    32   0.01143447651	    0.04766133532
    33   -0.08658367103	    0.150692745
    34   0.04440102089	    0.1277019327
    35   -0.08471375647	    0.2168574685
    36   0.02849860849	    0.1191186294
    37   0.01749802768	    0.07687912271
    38   0.013526672	    0.03408666006
    39   0.009598493711	    0.06149959612
    40   0.02214474426	    0.05218076727
    41   -0.003381863105	    0.0616337515
    42   0.02837513466	    0.08585260122
    43   -0.09273752589	    0.1512463028
    44   0.07856972409	    0.1530974876
    45   -0.1342077815	    0.1611874753
    46   0.1084022219	    0.1596681105
    47   -0.03655416149	    0.07160077969
    48   0.04469252237	    0.08758023026
    49   -0.00364741659	    0.06759916081
    50   -0.001961587298	    0.130043051
    51   0.0010655496	    0.1953449871
    52   0.07334016849	    0.2355067876
    53   -0.1243314482	    0.2136645283
    54   0.08867611097	    0.2004050352
    55   -0.09474805654	    0.2180845417
    56   0.0571984666	    0.1426860641
    57   -0.09451990792	    0.1716403165
    58   0.03856640511	    0.1034768754
    59   -0.01400644204	    0.04575627376
    60   0.01979123534	    0.08966648784
    61   0.02481770279	    0.08117875395
    62   -0.003268564313	    0.01073416109
    63   0.00936012761	    0.03137112657
    64   -0.01117253328	    0.06732822028
    65   0.06304741483	    0.1430501003
    66   -0.01044031612	    0.1757797348
    67   0.02282275097	    0.1307204824
    68   0.03159767596	    0.1932701608
    69   0.02231597634	    0.1113899228
    70   -0.01757956015	    0.04714179369
    71   0.02964332662	    0.09285924225
    72   0.01048604255	    0.03897765531
    73   0.03530165247	    0.1185748596
    74   -0.008390695781	    0.2180261599
    75   0.1240201102	    0.2687691642
    76   -0.1313575058	    0.2083600535
    77   0.1661716556	    0.1920872831
    78   -0.1058674736	    0.1730126809
    79   0.06140174629	    0.1353512819
    80   -0.02800428111	    0.1466353616
    81   -0.0008768852192	    0.1046249509
    82   0.01132828765	    0.1383435869
    83   0.01885276694	    0.171083994
    84   -0.1208699324	    0.2638208688
    85   0.09626871762	    0.2451779848
    86   -0.05566831888	    0.2496934085
    87   0.08976804138	    0.2305233416
    88   -0.07843989521	    0.2260063319
    89   0.09223121989	    0.1676520308
    90   -0.0479565719	    0.1240301486
    91   0.003657699399	    0.01620767472
    92   0.002404429086	    0.01216685739
    93   -0.001257140958	    0.004889101123
    94   0.01183871723	    0.05984033802
    95   0.002324661052	    0.0205919541
    96   -0.01583942544	    0.06621101121
    97   0.02954492409	    0.1739242737
    98   0.08043037454	    0.1666924965
    99   0.1092060686	    0.2073221268
    100  -0.02488618261	    0.1644004335
    101  0.0005150059746	    0.1248653493
    102  0.01340633879	    0.04149772956
    103  -0.02855956577	    0.1253089307
    104  0.005362955282	    0.234787403
    105  -0.01482774659	    0.2100827684
    106  0.07784009998	    0.2419689499
    107  -0.2046484654	    0.2598573301
    108  0.1620670918	    0.2015054081
    109  -0.1399185563	    0.1985867246
    110  0.1288003893	    0.1834290567
    111  -0.1006047283	    0.2075701146
    112  0.02875606959	    0.1863808432
    113  0.02239734313	    0.2002407252
    114  -0.003144163069	    0.1522042719
    115  -0.06842545997	    0.2045007859
    116  0.08056819346	    0.2130531274
    117  -0.09646771237	    0.2622286789
    118  0.065384941	    0.2145327418
    119  -0.04034865995	    0.2380110925
    120  -0.01318266611	    0.1785411698
    121  -0.02373084049	    0.1748680974
    122  -0.0116388421	    0.1307983597
    123  0.06322059448	    0.1207035068
    124  -0.04226491833	    0.1320148635
    125  0.05175304393	    0.1292163314
    126  -0.01542254717	    0.0741654333
    127  -0.01101534666	    0.06589622954
    128  -0.1093796002	    0.2103887981
    129  0.137551093	    0.2229112506
    130  -0.1066067374	    0.2419700212
    131  0.1151986018	    0.1954713568
    132  -0.1126124004	    0.2506908806
    133  0.1704259162	    0.2019111788
    134  -0.1098315151	    0.2035376221
    135  0.1276000605	    0.2026907069
    136  -0.07629020192	    0.2353793202
    137  0.1252805438	    0.2197205464
    138  -0.1239100529	    0.2626894068
    139  0.2558098886	    0.2314237106
    140  -0.1808545104	    0.2516425192
    141  0.187823541	    0.2014488479
    142  -0.1862392057	    0.2356144131
    143  0.1762387206	    0.2473364665
    144  -0.1309637969	    0.284639461
    145  0.1279853982	    0.2920074075
    146  -0.08740527623	    0.2877556266
    147  0.08631252704	    0.2716274081
    148  -0.07945524836	    0.180801172
    149  0.1132632891	    0.2247358459
    150  -0.08778130252	    0.1793893603
    151  -0.02051796218	    0.1321424205
    152  0.1036275419	    0.1900621251
    153  -0.04307792914	    0.1921148418
    154  0.1307880064	    0.1893061325
    155  -0.1149286541	    0.2084688036
    156  0.1160326668	    0.2025948077
    157  -0.07060123554	    0.1656495344
    158  -0.00553051277	    0.2617230618
    159  -0.04256478262	    0.1926549128
    160  0.104416611	    0.2071750677
    161  -0.1287146832	    0.2268158164
    162  0.09809959526	    0.2381813842
    163  -0.1621600061	    0.2607585656
    164  0.2732060569	    0.2057272509
    165  -0.2908572792	    0.2223295288
    166  0.2953184911	    0.1999679191
    167  -0.2288288544	    0.1934207696
    168  0.2599758572	    0.2096842381
    169  -0.2200047048	    0.2404296714
    170  0.2374382576	    0.2083662053
    171  -0.1237088789	    0.1990100403
    172  0.1493869382	    0.1998866588
    173  -0.174491306	    0.1990476699
